,strikePrice_CE,expiryDate_CE,underlying_CE,identifier_CE,openInterest_CE,changeinOpenInterest_CE,pchangeinOpenInterest_CE,totalTradedVolume_CE,impliedVolatility_CE,lastPrice_CE,change_CE,pChange_CE,totalBuyQuantity_CE,totalSellQuantity_CE,bidQty_CE,bidprice_CE,askQty_CE,askPrice_CE,underlyingValue_CE,strikePrice_PE,expiryDate_PE,underlying_PE,identifier_PE,openInterest_PE,changeinOpenInterest_PE,pchangeinOpenInterest_PE,totalTradedVolume_PE,impliedVolatility_PE,lastPrice_PE,change_PE,pChange_PE,totalBuyQuantity_PE,totalSellQuantity_PE,bidQty_PE,bidprice_PE,askQty_PE,askPrice_PE,underlyingValue_PE
0,17350,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023CE17350.00,0,0,0,0,0,0,0,0,6300,4550,1750,2619.35,1750,2953.7,20133.15,17350,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023PE17350.00,15677,-6547,-29.45914326853852,212445,81.72,0.05,-0.95,-95,0,237900,0,0,36350,0.05,20133.15
1,17400,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023CE17400.00,66,-7,-9.58904109589041,24,0,2732.2,63.29999999999973,2.371763647944836,5200,5800,1750,2544.35,50,2753.9,20133.15,17400,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023PE17400.00,5357,-16616,-75.62007918809448,85119,80.24,0.05,-1.05,-95.45454545454545,0,115300,0,0,35250,0.05,20133.15
2,17450,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023CE17450.00,0,0,0,0,0,0,0,0,6300,6300,1750,2522.6,1000,2759.45,20133.15,17450,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023PE17450.00,3284,-717,-17.920519870032493,13845,82.71,0.1,-1.0499999999999998,-91.30434782608695,12400,103850,12400,0.05,1700,0.1,20133.15
3,17500,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023CE17500.00,335,-110,-24.719101123595507,145,0,2635.2,-7.200000000000273,-0.27247956403270784,6900,5850,600,2612.9,100,2635,20133.15,17500,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023PE17500.00,14956,-16835,-52.955238904092354,117630,77.29,0.05,-1.0999999999999999,-95.65217391304347,0,226000,0,0,77400,0.05,20133.15
4,17550,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023CE17550.00,0,0,0,0,0,0,0,0,7150,6800,600,2562.65,500,2603.7,20133.15,17550,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023PE17550.00,260,-371,-58.79556259904913,5698,79.63,0.1,-1.0499999999999998,-91.30434782608695,0,97700,0,0,1950,0.15,20133.15
5,17600,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023CE17600.00,184,-292,-61.34453781512605,427,0,2535.15,0.15000000000009095,0.005917159763317198,6900,7500,600,2512.9,600,2553.95,20133.15,17600,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023PE17600.00,2406,-1935,-44.574982722874914,10569,74.34,0.05,-1.0999999999999999,-95.65217391304347,0,103600,0,0,1800,0.1,20133.15
6,17650,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023CE17650.00,0,0,0,0,0,0,0,0,6900,6800,600,2462.65,500,2503.7,20133.15,17650,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023PE17650.00,322,-749,-69.93464052287581,9461,72.87,0.05,-1.0999999999999999,-95.65217391304347,0,129600,0,0,3950,0.05,20133.15
7,17700,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023CE17700.00,8,0,0,2,0,2359.9,44.34999999999991,1.915311697005027,7500,7550,600,2412.9,50,2448.85,20133.15,17700,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023PE17700.00,1880,-141,-6.976744186046512,8987,71.41,0.05,-1.0999999999999999,-95.65217391304347,0,112150,0,0,22650,0.05,20133.15
8,17750,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023CE17750.00,199,-142,-41.64222873900293,187,0,2385.3,2.600000000000364,0.10911990598901934,6900,7400,600,2362.7,500,2403.7,20133.15,17750,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023PE17750.00,3005,-548,-15.423585702223473,9574,69.95,0.05,-1.15,-95.83333333333333,0,98750,0,0,250,0.1,20133.15
9,17800,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023CE17800.00,679,-551,-44.796747967479675,953,100.82,2339.6,7.049999999999727,0.30224432488048386,8700,7500,600,2312.9,600,2353.95,20133.15,17800,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023PE17800.00,4789,-19490,-80.27513489023436,72972,68.49,0.05,-1.3,-96.29629629629629,0,109200,0,0,600,0.05,20133.15
